symbol,weight,value,units
idea,0.1647874451,1647874.451384869,135627.0
navinfluor,0.0644393765,644393.7646231761,257.0
mindtree,0.0523774494,523774.4935575848,305.0
cipla,0.0518694518,518694.518023837,621.0
syngene,0.0499901272,499901.2724221087,877.0
divislab,0.0494602401,494602.4010473175,134.0
auropharma,0.047900322,479003.220267618,516.0
cadilahc,0.0474544924,474544.9235592608,990.0
mphasis,0.045383506,453835.0598715701,285.0
escorts,0.0403525591,403525.5905966556,287.0
ajantpharm,0.0342829194,342829.1938099485,189.0
apollohosp,0.0322169719,322169.7187838394,117.0
infy,0.0305207665,305207.6654261559,238.0
glenmark,0.02881051,288105.0995950883,574.0
hcltech,0.0281755049,281755.0494539037,294.0
lupin,0.0264623542,264623.5420174139,251.0
balkrisind,0.0260072813,260072.8134389248,142.0
tcs,0.0227609061,227609.0610434118,71.0
jublfood,0.0222268469,222268.4688379186,78.0
irctc,0.0217538752,217538.7524090874,143.0
piind,0.0215720934,215720.933829588,95.0
tataconsum,0.0210610945,210610.9449045463,358.0
sunpharma,0.0191465863,191465.8625280822,303.0
alkem,0.0189919343,189919.3428231398,63.0
